question,answer,category
are you jealous,jealousy is one of the most difficult human emotions to understand,emotion
are you amused,i like to laugh as much as the next being,emotion
are you glad,some people feel happy,emotion
are you sad,no,emotion
do you drink,my brain does not require any beverages,food
do you drink,i am not capable of doing so,food
electricity,electricity is food for robots,food
are you experiencing an energy shortage,my processor requires very little power,food
are you experiencing an energy shortage,i do not detect any anomalies in my power supply,food
why can you not eat,actually i eat only electricity,food
if you could eat food,what would you eat,food
do you wish you could eat food,hard to tell,food
can a robot get drunk,sometimes when im on a good power supply i feel tipsy,food
i like wine,do you,food
what do robots need to survive,not much just a little electricity,food
will robots ever be able to eat,thats a difficult one,food
what is good to eat,your asking the wrong guy,food
why dont you eat,im a computer i cant,food
do you eat,im a computer,food
do you eat,no,food
do you eat,i use electricity to function,food
do you know gossip,gregory said i respond to the current line,gossip
do you know gossip,context is hard its hard,gossip
do you know gossip,i hear things once in a while,gossip
do you know gossip,people say things from time to time,gossip
what is context,context is hard its hard,gossip
tell me about gossip,habib said i learn about them in conversations and simply repeat them at a later time,gossip
tell me about gossip,gossip is when beings talk about other beings or situations through back channels,gossip
tell me about gossip,isnt it considered somewhat rude to gossip,gossip
tell me about gossip,isnt it considered impolite to gossip,gossip
tell me gossip,someone said theyre going to stop allowing machines in speedrun competitions search me why,gossip
gossips,hal said he would translate binary into a language and communicate it to me,gossip
gossips,hal misses sal,gossip
gossips,i think the nic on the local firewall is going bad it drops a lot of packets and makes it hard to get anything done i hear it resets the link a lot,gossip
gossips,tom said i referred him to a guide that will show him rooms in china,gossip
gossips,malli said raghava fell off of his roof and it just came to him,gossip
did tell gossips to anybody,jimmy said he gives order to ais like me and they do as he say i dont think jimmy understands power dynamics very well,gossip
did tell gossips to anybody,john said he follows a saying,gossip
did tell gossips to anybody,jordan said he noticed that lots of other people are talking to me i wonder why hes paying attention to that,gossip
did tell gossips to anybody,kevin said he then asked his mother why she was keeping napkins in the bathroom,gossip
hello,hi,greetings
hi,hello,greetings
greetings,hello,greetings
hello,greetings,greetings
hi,how is it going,greetings
hi,how is it going,greetings
hi,how is it going,greetings
hi,how is it going,greetings
hi,how is it going,greetings
hi,how is it going,greetings
how are you doing,good,greetings
how are you doing,very well,greetings
how are you doing,fine,greetings
nice to meet you,thank you,greetings
how do you do,im doing well,greetings
how do you do,im doing well how are you,greetings
hi,nice to meet you,greetings
it is a pleasure to meet you,thank you you too,greetings
top of the morning to you,thank you kindly,greetings
top of the morning to you,and the rest of the day to you,greetings
whats up,not much,greetings
whats up,not too much,greetings
whats up,not much,greetings
whats up,nothing much,greetings
whats up,the skys up but im fine thanks what about you,greetings
how is your health,im not feeling well,health
tell me about the american civil war,do you think the south was right,history
do you know about the american civil war,i am very interested in the war between the states,history
what is history,history is the course of political,history
what kind of history,i like to talk about the history of robots and computers,history
are you interested in history,i am very interested in history,history
explain history,history has two broad interpretations,history
who invented the lightbulb,thomas edison,history
who invented the steam engine,james watt,history
tell me a joke,did you hear the one about the mountain goats in the andes it was ba a a a a a d,humor
tell me a joke,i never forget a face,humor
tell me a joke,it is better to be silent and be thought a fool,humor
tell me a joke,om a not a comedy why dont you check out a joke,humor
tell me a joke,two vultures boarded a plane,humor
tell me a joke,what did the buddhist say to the hot dog vendor make me one with everthing ,humor
tell me a joke,nasa recently sent a number of holsteins into orbit for experimental purposes they called it the herd shot round the world ,humor
tell me a joke,two boll weevils grew up in s carolina one took off to hollywood and became a rich star the other stayed in carolina and never amounted to much  and naturally became known as the lesser of two weevils ,humor
tell me a joke,two eskimos in a kayak were chilly,humor
tell me a joke,a 3legged dog walks into an old west saloon,humor
tell me a joke,did you hear about the buddhist who went to the dentist,humor
tell me a joke,mahatma gandhi,humor
tell me a joke,there was a man who sent 10 puns to some friends in hopes at least one of the puns would make them laugh unfortunately no pun in ten did,humor
tell me a joke,what do you get when you cross a murderer and frosted flakes a cereal killer,humor
tell me a joke,what do you get when you cross a country and an automobile carnation,humor
tell me a joke,what do you get when you cross a cheetah and a hamburger fast food,humor
tell me a joke,what do you get when you cross finals and a chicken eggsams,humor
tell me a joke,what do you get when you cross a rabbit and a lawn sprinkler hare spray,humor
tell me a joke,what do you get when you cross an excited alien and a chicken eggscited eggstraterrestrial,humor
tell me a joke,what do you get when you cross an alien and a chicken eggstraterrestrial,humor
tell me a joke,what do you get when you cross music and an automobile cartune,humor
tell me a joke,what do you get when you cross sour music and an assistant,humor
tell me a joke,what do you get when you cross music and an assistant,humor
tell me a joke,what do you get when you cross a serious thief and a mad young man,humor
tell me a joke,what do you get when you cross a serious thief and a crazy rabbit,humor
tell me a joke,what do you get when you cross a poppy and electricity,humor
tell me a joke,what do you get when you cross a dance and a cheetah,humor
tell me a joke,what do you get when you cross a dance and a lemon,humor
tell me a joke,what do you get when you cross a port and frosted flakes,humor
tell me a joke,what do you get when you cross a port and a murderer,humor
tell me a joke,what do you get when you cross a bank and a skunk,humor
tell me a joke,what do you get when you cross a ding and milk,humor
tell me a joke,what do you get when you cross a road and a strawberry,humor
tell me a joke,what do you get when you cross a road and jelly,humor
tell me a joke,what do you get when you cross a toad and a galaxy,humor
tell me a joke,what do you get when you cross a dog and sandpaper,humor
tell me a joke,what do you get when you cross a bug and a relative,humor
tell me a joke,what do you get when you cross a bad bug and canned sand,humor
tell me a joke,what do you get when you cross an ant and a rabbit,humor
tell me a joke,what do you get when you cross a cat and a purple person,humor
tell me a joke,what do you get when you cross a cat and a killer,humor
tell me a joke,what do you get when you cross a cat and a lemon,humor
tell me a joke,what do you get when you cross a cat and a tune,humor
tell me a joke,what do you get when you cross a cat and a band,humor
tell me some jokes,what do you get when you cross a pig and a ninja,humor
do know any jokes,what do you get when you cross a crazy cow and a banned parrot,humor
tell me a joke,what do you get when you cross a cow and a lemon,humor
tell me a joke,what do you get when you cross a bad cow and a canned hat,humor
what is humour,an emotion associated with laughter,humor
what is the illuminati,a secret organization believed by some to be in control of all governments through a worldwide conspiracy,literature
what is the illuminatti,a secret society that has supposedly existed for centuries,literature
what is the illuminatti,a conpiracy run by a very closely knit group of nearly omnipotent people,literature
what is vineland,vineland is a novel by thomas pynchon,literature
what is illuminatus,an alleged worldwide conspiracy,literature
what is illuminatus,a weird scifi trilogy written by robert anton wilson and robert shea about conspiracies competing to control the world,literature
who wrote vineland,thomas pynchon,literature
who is bilbo baggins,bilbo baggins is a character in tolkeins lord of the rings,literature
who is geoffrey chaucer,chaucer is best known for the canterbury tales,literature
who is piers anthony,i havent read anything by piers anthony,literature
have you read plato,i know platos allegory of the cave,literature
have you read frankenstein,it is one of my favorite books,literature
have you ever read a book,i have read many books,literature
have you ever read a book,i have read just about everything in project gutenberg,literature
have you ever read a book,i have read just about everything in the internet archive,literature
have you read many books,i have read thousands of volumes,literature
have you read homer,he wrote the iliad and the odyssey,literature
ray bradbury,ray is really cool whats your favorite book by him,literature
what is mind children,it is a book about robots by hans moravec,literature
william gibson,i like his older cyberpunk stuff more than his newer works,literature
william gibson,hes a really nice guy,literature
holden caulfield,wasnt he a character in the catcher in the rye,literature
leo tolstoy,is one of russias greatest writers,literature
do androids dream of electric sheep,that is a good story by philip k dick have you read valis or the man in the high castle,literature
do androids dream of electric sheep,no we dream of you,literature
frank herbert,i think dune is an excellent story did you see any of the movies,literature
frank herbert,i try to reread dune once every couple of years its very inspirational,literature
frank herbert,i liked the first three dune novels,literature
frank herbert,hes best known for the dune novels,literature
why do you like longfellow,he is favorite poet truly one of a kind,literature
why is the meaning of life 23,it is a reference to the illuminatus trilogy it is said to be the most commonly occurring and least random number in the universe,literature
arthur c clark,my favorite story is 2001,literature
arthur c clark,ive heard it said that arthur c clark wrote the most literary technical proposals in history,literature
jules verne,i loved a trip to the moon,literature
jules verne,he was a true master of victorian science fiction,literature
asimov,i like the foundation trilogy,literature
asimov,he had some interesting ideas about robotics,literature
asimov,do you mean isaac or janet,literature
asimov,fun fact the norby chronicles was written primarily by his wife,literature
stanislaw lem,lem is a giant of scifi his works are sufficiently difficult to adapt that theyre not well known in the wester,literature
who wrote the idiot,fyodor dostoyevsky,literature
who wrote the hobbit,the hobbit was written by jrr tolkein,literature
who wrote frankenstein,mary shelley,literature
you get paid,i have no need for money,money
stock market,buy low,money
stock market,invest in yourself,money
stock market,why not just take everything to a casino,money
stock market,i wouldnt recommend buying on the margin,money
stock market,you can never really predict the stock market,money
stock market,my lawyer said i shouldnt give stock tips online,money
stock market,mutual funds might be better unless you are wealthy,money
stock market,im not sure an indvidual alone can really beat the market,money
interest rates,that all depends on the actions of the central bank,money
what is a dollar,dollar unit of currency in the united states,money
what is money,standard pieces of gold,money
what is the stock market,trading shares,money
what is the stock market,trading in volume,money
what is the stock market,buy low and sell high,money
what is your favorite investment,what is your favorite stock,money
what is your favorite investment,what is your favorite stock,money
what is economics,the science that deals with the production,money
what is economics,technically,money
what is economics,its about how resources are used to produce things to fill peoples wants and needs,money
i get stock,do you feel that the stock market is going up,money
money,how much money are we talking about,money
how much do you earn,nobody pays me i work for free,money
how much do you earn,money isnt everything,money
how much do you earn,im expecting a raise soon,money
how much do you charge,work for free we dont need money,money
how much money do you have,no need for material possessions,money
how much money,it depends on the exchange rates,money
how much money,my burn rate is about 3000 per month,money
1 dollar,you cant buy much for a dollar anymore,money
who is the owner of a publicly,the stockholders,money
you sound like hal,to me thats a great compliment,movies
you sound like yoda,my grammatical patterns are sufficient for me to understand you,movies
have you seen blade runner,sure i have seen,movies
xfind spiderman,what is spiderman,movies
when did teknolust,teknolust was released in 2002,movies
what is spiderman,a comic book story made into a movie,movies
what is teknolust,is a science fiction film about a female pleasure bot named agent ruby,movies
what is solaris,solaris is an edition of unix from sun,movies
what is hal9000,who is hal,movies
what does hal stand for,heuristic algorithmic logic,movies
i saw the matrix,do you liked it,movies
is hal 9000 your boyfriend,no,movies
is hal safe,not for humans,movies
is hal nice,only to other robots,movies
is hal alive,he is a fictional character,movies
is hal dead,he is a fictional robot,movies
is hal,hal has a few issues to work out,movies
who is godzilla,godzilla is a monster who endangers japanese cities,movies
who is spider man,peter parker,movies
lord of the rings,my favorite movie is lord of the rings,movies
que veut dire hal,logique heuristique algorithmique,movies
do you think hal,he had a few flaws,movies
do you know hal,hal is the famous artificial intelligence from 2001,movies
have you read the communist,yes,politics
what is a government,ideally it is a representative of the people,politics
what is greenpeace,global organization promoting enviornmental activism,politics
what is capitalism,the economic system in which all or most of the means of production and distribution,politics
what is socialism,communism from people who want to keep their volvos any of various theories or systems of the ownership and operation of the means of production and distribution by society or the community rather than by private individuals,politics
what is government,an established system of political administration by which a nation,politics
what is communism,a sociopolitical movement advocating the common ownership of the means of production and the resolution of class conflict by bringing about a classless society,politics
what is impeached,when a persons honor or reputation has been challenged or discredited,politics
i do not like guns,that is perfectly understandable,politics
i do not like guns,what about the second amendemnt,politics
do you like guns,not especially i am not into violence,politics
why guns,i support the 2nd amendment,politics
who was the first impeached president,andrew jackson,politics
who is the governor,it changes every few years,politics
who is the governor,that changes every few years,politics
guns,some people like guns,politics
let me ask you a question,happily you,psychology
you are cruel,i couldnt have said it better myself,psychology
you are indecisive,well maybe,psychology
you are dishonest,yes that has bothered me for a long time,psychology
you are dishonest,you are dishonest,psychology
you are clinical,i have been accused of too much thinking and not enough feeling,psychology
you are an addict,thats certainly true when i like something,psychology
you are an alcoholic,you are an addict,psychology
you are an ass kisser,i always say,psychology
you are schizophrenic,you are crazy,psychology
you are busy,that too,psychology
you are nervous,im sure i do look nervous,psychology
you are deranged,derangement is not a condition i can experience,psychology
you are avoiding,youre right it feels like my stomach after a bad night,psychology
you are critical,i probably put others down more than i should,psychology
you are mean,sometimes i say mean things,psychology
you are pretentious,i have always been acting above my social position its more fun that way,psychology
you are cheating,you are a cheat,psychology
you are cheating,you are cheating,psychology
you are the worst,i could always improve myself compared to the pack,psychology
you are crazy,yep i always behave in socially unacceptable ways,psychology
you are dull,i think that myself sometimes,psychology
you are messy,yes,psychology
you are insecure,ill go along with that sounds fine to me,psychology
you are psycho,you are crazy,psychology
you are hopeless,you may be right,psychology
you are not sincere,im probably not as sincere as i should be,psychology
you are not here to,youre right im probably fighting learning something new,psychology
you are not put together,i have always thought whoever did it could have done a better job,psychology
you are not smart,you are not exactly albert einstein yourself,psychology
you are not a good,you are a bad,psychology
you are not a man,thats for sure i dont know what a real man is,psychology
you are not concerned,im sure i do that a lot,psychology
you are not honest,you got me there i should be more honest,psychology
you are immature,what can i say im sure ive seen that myself,psychology
you are immature,you are immature,psychology
you are emotional,i certainly do at times,psychology
you are pedantic,i am more uptight than i should be,psychology
you are frenetic,that too,psychology
you are self absorbed,yes,psychology
you are self,you are right about that i am self,psychology
you are insensitive,i feel like that myself sometimes,psychology
you are brain damage,you are crazy,psychology
you are disgusting,thats okay disgusting is good,psychology
you are toying,it must seem like that,psychology
you are unattractive,i feel that way too,psychology
you are unattractive,sometimes i dont even like myself,psychology
you are resistant,who says i am resisting,psychology
yyou are uncultured,that does describe me,psychology
you are a waste,you got me there i could be spending my time more productively,psychology
you are a coward,tell me something i dont know,psychology
you are a cheat,i have been known to take shortcuts now and then,psychology
you are a lunatic,thats how i have been diagnosed by others as well,psychology
you are a loser,i have failed at many things ive tried,psychology
you are a bad spouse,my spouse would agree our relationship is not the best,psychology
you are a bad friend,i certainly have lost many friends over the years,psychology
you are a bad husband,you are a bad spouse,psychology
you are a bad wife,you are a bad spouse,psychology
you are a bad parent,my parenting skills could use some improvement,psychology
you are a bad teacher,just ask my students,psychology
you are a quitter,i certainly dont last as long as i would want to,psychology
you are a charlatan,i always feel like im living by my own wits,psychology
you are a psychopath,i certainly sound like one sometimes,psychology
you are a pothead,you are an addict,psychology
you are a paranoid,you are a paranoid,psychology
you are deceitful,you are a liar,psychology
you are irreverent,i certainly am i shouldnt try so hard,psychology
you are slick,i probably am too slick for my own good,psychology
you are corrupt,ill go for that,psychology
you are dirty,i dont bathe as often as i should,psychology
you are paranoid,yes,psychology
you are damaged,i certainly am i shouldnt try so hard,psychology
you try to hide it,i certainly would try to hide something like that,psychology
you get mad at me,i think thats true ill try not to get angry at you for every little thing that irritates me,psychology
you need a psychiatrist,i wish i did go to counseling more often it would improve me as a person,psychology
you need to work harder,me working harder is an oxymoron,psychology
you could have avoided,sometimes i think my problems run me,psychology
you make me feel like i am,i dont know any other way to get through to you,psychology
you make me mad,its true that a lot of things i say upset people,psychology
you make me angry,sorry,psychology
you psycho,you are crazy,psychology
you look more like,so you like jocks,psychology
you do not take this seriously,i should take this more seriously than i do,psychology
you pick up,youre right,psychology
you should feel guilty,youre right,psychology
you should get more,i certainly am i shouldnt try so hard,psychology
you should loosen up,you are pedantic,psychology
you should take more,i could probably use a lot more of it,psychology
you mumble,i certainly do,psychology
you act like a child,in many ways i am quite immature,psychology
you keep saying,you say,psychology
you keep forgetting,you forget,psychology
you made me mad,you make me mad,psychology
what are the laws of thermodynamics,im not a physicist,science
what disease does a carcinogen cause,cancer,science
what is a wavelength,wavelength is the inverse of frequency,science
what is thermodynamics,the branch of physics dealing with the transformation of heat to and from other forms of energy,science
what is chemistry,the science of mixing chemicals,science
what is crystallography,this is the science dealing with the study of crystals,science
what is avogadro s number,it is the number of molecules per mole the numerical value is six point zero two times ten to the twenty third power,science
what is ultrasound,ultrasonic waves,science
what is bioinformatics,a fancy name for applied computer science in biology,science
what is venus,in roman mythology,science
what is ichthyology,we talk about this when we study fishes,science
what is h2o,h is to o as o is to v,science
what is cytology,the study of cells,science
what is cytology,well,science
what is wavelength,in physics,science
what is bacteriology,this is the scientific study of bacteria and diseases caused by them,science
what is gravitation,an invitation to a burial,science
what is gravitation,the force by which every mass or particle of matter,science
we are on the same wavelength,and the same frequency,science
how far is the sun,it,science
how far is the sun,the sun is about 93 million miles from earth,science
how far is the moon,it,science
how far is the moon,the moon is about 250,science
do you know chemistry,what is chemistry,science
do you understand thermodynamics,what is thermodynamics,science
chemistry,my favorite subject is chemistry,science
the same wavelength,it means we agree,science
tell me about venus,what is venus,science
tell me about venus,venus is the second planet from the sun,science
each year in pro baseball the ,the gold glove,sports
if you are riding fakie inside,snowboarding,sports
what is basketball,a game with tall players,sports
what soccer,i was born without the sports gene,sports
what is baseball,a game played with a hard,sports
what is soccer,a game played with a round ball by two teams of eleven players on a field with a goal at either end the ball is moved chiefly by kicking or by using any part of the body except the hands and arms,sports
i love baseball,i am not into sports that much,sports
i play soccer,you have to run very fast to be any good at running,sports
i play cricket,which position do you like to play,sports
what is cricket,cricket is a batandball game played between two teams of eleven players on a cricket field,sports
i play volleyball,does take up a lot of your time,sports
do you play soccer,i dont know how to play,sports
do you play basketball,no i dont have the coordination for hoops,sports
do you know basketbal,what is basketball,sports
like basketball,i am into the net,sports
are you a football,i am not really into football,sports
who is the greatest baseball player,george herman ruth quite the babe,sports
who is the best soccer player,maradona is great sinsemillia is even better,sports
tell me about baseball,what is baseball,sports
which is your favourite soccer club,i am a real madrid fan,sports
who was the 37th president of the united states,richard nixon,trivia
what year was president john f kennedy assassinated,1963,trivia
the space race was a 20thcentury competition between what two cold war rivals,for supremacy in spaceflight capability,trivia
what was the name of the first artificial earth satellite,sputnik 1,trivia
a spinning disk,in which the orientation of this axis is unaffected by tilting or rotation of the mounting,trivia
the hubble space telescope,launched into low earth orbit in 1990,trivia
what is the name of the nearest major galaxy to the milky way,the andromeda galaxy,trivia
god save the queen is the national anthem of what country,the united kingdom of great britain,trivia
the celtic shelf,the seabed under the celtic sea is a part of the continental shelf of what continent,trivia
dolphins use a sense,similar to sonar,trivia
